ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,PTRATIO,MEDV,CAT. MEDV,CRIM_log,TAX_log,LSTAT_log
18.0,2.31,0,0.538,6.575,65.2,4.09,1,15.3,24.0,0,0.006300112548479854,5.6937321388027,1.7884205679625405
0.0,7.07,0,0.469,6.421,78.9,4.9671,2,17.8,21.6,0,0.026943735447546184,5.493061443340548,2.316487998163037
0.0,7.07,0,0.469,7.185,61.1,4.9671,2,17.8,34.7,0,0.026924266937859983,5.493061443340548,1.6154199841116479
0.0,2.18,0,0.458,6.998,45.8,6.0622,3,18.7,33.4,0,0.031857129935659596,5.407171771460119,1.3711807233098425
0.0,2.18,0,0.458,7.147,54.2,6.0622,3,18.7,36.2,0,0.06677040363385237,5.407171771460119,1.8453002361560848
0.0,2.18,0,0.458,6.43,58.7,6.0622,3,18.7,28.7,0,0.029413160568349615,5.407171771460119,1.8261608959453874
12.5,7.87,0,0.524,6.012,66.6,5.5605,5,15.2,22.9,0,0.08460765703482563,5.7430031878094825,2.5974910105351463
12.5,7.87,0,0.524,6.172,96.1,5.9505,5,15.2,27.1,0,0.13501154665587695,5.7430031878094825,3.0032042883926917
12.5,7.87,0,0.524,5.631,100.0,6.0821,5,15.2,16.5,0,0.19164462825480602,5.7430031878094825,3.4317265866969784
12.5,7.87,0,0.524,6.004,85.9,6.5921,5,15.2,18.9,0,0.15703793625945525,5.7430031878094825,2.89591193827178
12.5,7.87,0,0.524,6.377,94.3,6.3467,5,15.2,15.0,0,0.20285104404642812,5.7430031878094825,3.065724645374026
12.5,7.87,0,0.524,6.009,82.9,6.2267,5,15.2,18.9,0,0.11106720150765238,5.7430031878094825,2.658159431488745
12.5,7.87,0,0.524,5.889,39.0,5.4509,5,15.2,21.7,0,0.08963958688495932,5.7430031878094825,2.8160073426073025
0.0,8.14,0,0.538,5.949,61.8,4.7075,4,21.0,20.4,0,0.48843276471410274,5.730099782973574,2.225704048658088
0.0,8.14,0,0.538,6.096,84.5,4.4619,4,21.0,18.2,0,0.493451565108284,5.730099782973574,2.421256622711544
0.0,8.14,0,0.538,5.834,56.5,4.4986,4,21.0,19.9,0,0.4869775044907406,5.730099782973574,2.248128907197987
0.0,8.14,0,0.538,5.935,29.3,4.4986,4,21.0,23.1,0,0.719755031081429,5.730099782973574,2.0255131996542803
0.0,8.14,0,0.538,5.99,81.7,4.2579,4,21.0,17.5,0,0.5789701354975461,5.730099782973574,2.7517480563679295
0.0,8.14,0,0.538,5.456,36.6,3.7965,4,21.0,20.2,0,0.5892910882451726,5.730099782973574,2.540814281726296
0.0,8.14,0,0.538,5.727,69.5,3.7965,4,21.0,18.2,0,0.5456907110920701,5.730099782973574,2.5079719227189963
0.0,8.14,0,0.538,5.57,98.1,3.7979,4,21.0,13.6,0,0.8117254554853013,5.730099782973574,3.091951131294534
0.0,8.14,0,0.538,5.965,89.2,4.0123,4,21.0,19.6,0,0.6162877342628865,5.730099782973574,2.696652156149841
0.0,8.14,0,0.538,6.142,91.7,3.9769,4,21.0,15.2,0,0.8031085958282843,5.730099782973574,2.9816333491744893
0.0,8.14,0,0.538,5.813,100.0,4.0952,4,21.0,14.5,0,0.6873453826321089,5.730099782973574,3.038791763014438
0.0,8.14,0,0.538,5.924,94.1,4.3996,4,21.0,15.6,0,0.5597643483283525,5.730099782973574,2.8507065015037334
0.0,8.14,0,0.538,5.599,85.7,4.4546,4,21.0,13.9,0,0.6100590068254429,5.730099782973574,2.8627721462977607
0.0,8.14,0,0.538,5.813,90.3,4.682,4,21.0,16.6,0,0.5139666854625483,5.730099782973574,2.7606426512213806
0.0,8.14,0,0.538,6.047,88.8,4.4534,4,21.0,14.8,0,0.6707839777866772,5.730099782973574,2.905807566026004
0.0,8.14,0,0.538,6.495,94.4,4.4547,4,21.0,18.4,0,0.5726673869182406,5.730099782973574,2.624668592163159
0.0,8.14,0,0.538,6.674,87.3,4.239,4,21.0,21.0,0,0.6943714308596382,5.730099782973574,2.563409711275944
0.0,8.14,0,0.538,5.713,94.1,4.233,4,21.0,12.7,0,0.7565021891227188,5.730099782973574,3.1612467120315646
0.0,8.14,0,0.538,6.072,100.0,4.175,4,21.0,14.5,0,0.8564218244336657,5.730099782973574,2.641910398597665
0.0,8.14,0,0.538,5.95,82.0,3.99,4,21.0,13.2,0,0.8704520079168975,5.730099782973574,3.3572454941329726
0.0,8.14,0,0.538,5.701,95.0,3.7872,4,21.0,13.1,0,0.7662675223101358,5.730099782973574,2.962692419475791
0.0,8.14,0,0.538,6.096,96.9,3.7598,4,21.0,13.5,0,0.9604300978281596,5.730099782973574,3.060583245873607
0.0,5.96,0,0.499,5.933,68.2,3.3603,5,19.2,18.9,0,0.06219515259296706,5.634789603169249,2.3683728335320486
0.0,5.96,0,0.499,5.841,61.4,3.3779,5,19.2,20.0,0,0.0929801947688742,5.634789603169249,2.5185025992165158
0.0,5.96,0,0.499,5.85,41.5,3.9342,5,19.2,21.0,0,0.07709066236456355,5.634789603169249,2.2793164660546914
0.0,5.96,0,0.499,5.966,30.2,3.8473,5,19.2,24.7,0,0.1613106998822503,5.634789603169249,2.4096441652874536
31.25,2.95,0,0.428,6.595,21.8,5.4011,3,18.3,30.8,0,0.02725518006645146,5.53338948872752,1.6714733033535532
31.25,2.95,0,0.428,7.024,15.8,5.4011,3,18.3,34.9,0,0.03303817907679737,5.53338948872752,1.091923300517313
0.0,6.91,0,0.448,6.77,2.9,5.7209,3,17.9,26.6,0,0.11994957590111856,5.455321115357702,1.7647307968401356
0.0,6.91,0,0.448,6.169,6.6,5.7209,3,17.9,25.3,0,0.13234318698771316,5.455321115357702,1.918392120161421
0.0,6.91,0,0.448,6.211,6.5,5.7209,3,17.9,24.7,0,0.14786812872457536,5.455321115357702,2.132982308607866
0.0,6.91,0,0.448,6.069,40.0,5.7209,3,17.9,21.2,0,0.11572759134397043,5.455321115357702,2.3561258599220753
0.0,6.91,0,0.448,5.682,33.8,5.1004,3,17.9,19.3,0,0.15821668811495349,5.455321115357702,2.4168062370840686
0.0,6.91,0,0.448,5.786,33.3,5.1004,3,17.9,20.0,0,0.17257420533907458,5.455321115357702,2.7180005319553784
0.0,6.91,0,0.448,6.03,85.5,5.6894,3,17.9,16.6,0,0.20642049726093953,5.455321115357702,2.9856819377004897
0.0,6.91,0,0.448,5.399,95.3,5.87,3,17.9,14.4,0,0.2262347685752403,5.455321115357702,3.4597807057610526
0.0,6.91,0,0.448,5.602,62.0,6.0877,3,17.9,19.4,0,0.1986623163820069,5.455321115357702,2.8449093838194073
21.0,5.64,0,0.439,5.963,45.7,6.8147,4,16.8,19.7,0,0.0850118793258392,5.497168225293202,2.670694414558441
21.0,5.64,0,0.439,6.115,63.0,6.8147,4,16.8,20.5,0,0.04245585903639239,5.497168225293202,2.344686269012681
21.0,5.64,0,0.439,6.511,21.1,6.8147,4,16.8,25.0,0,0.05221287144693424,5.497168225293202,1.8373699804801074
21.0,5.64,0,0.439,5.998,21.4,6.8147,4,16.8,23.4,0,0.04860919541462225,5.497168225293202,2.2438960966453663
31.25,4.0,0,0.41,5.888,47.6,7.3197,3,21.1,18.9,0,0.013508350024792243,6.152732694704104,2.760009940032921
31.25,1.22,0,0.403,7.249,21.9,8.6966,5,17.9,35.4,0,0.013024807722689456,5.424950017481403,1.7595805708638197
31.25,0.74,0,0.41,6.383,35.7,9.1876,2,17.3,24.7,0,0.02034169765791456,5.749392985908253,1.9125010869241836
31.25,1.32,0,0.411,6.816,40.5,8.3248,5,15.1,31.6,0,0.0142184372375555,5.54907608489522,1.599387576580599
25.0,5.13,0,0.453,6.145,29.2,7.8148,8,19.7,23.3,0,0.1436240400828755,5.652489180268651,2.061786606441115
25.0,5.13,0,0.453,5.927,47.2,6.932,8,19.7,19.6,0,0.09828756118394519,5.652489180268651,2.3243465847755584
25.0,5.13,0,0.453,5.741,66.2,7.2254,8,19.7,18.7,0,0.13917046313797143,5.652489180268651,2.649714624089247
25.0,5.13,0,0.453,5.966,93.4,6.8185,8,19.7,16.0,0,0.15846422026338805,5.652489180268651,2.73696154459663
25.0,5.13,0,0.453,6.456,67.8,7.2255,8,19.7,22.2,0,0.1046032289886448,5.652489180268651,2.0451088625993306
25.0,5.13,0,0.453,6.762,43.4,7.9809,8,19.7,25.0,0,0.11911548089016206,5.652489180268651,2.3513752571634776
17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,18.6,33.0,0,0.019322119714037037,5.37989735354046,2.2027647577118348
31.25,3.37,0,0.398,6.29,17.8,6.6115,4,16.1,23.5,0,0.03521269175574247,5.823045895483019,1.7351891177396608
31.25,3.37,0,0.398,5.787,31.1,6.6115,4,16.1,19.4,0,0.042858319801900656,5.823045895483019,2.419478844465545
12.5,6.07,0,0.409,5.878,21.4,6.498,4,18.9,22.0,0,0.05627635827662477,5.846438775057725,2.2082744135228043
12.5,6.07,0,0.409,5.594,36.8,6.498,4,18.9,17.4,0,0.1271083087153749,5.846438775057725,2.645465325910589
12.5,6.07,0,0.409,5.885,33.0,6.498,4,18.9,20.9,0,0.1205879869885934,5.846438775057725,2.281361456542419
0.0,10.81,0,0.413,6.417,6.6,5.2873,4,19.2,24.2,0,0.08458009047306331,5.723585101952381,2.0438143640366846
0.0,10.81,0,0.413,5.961,17.5,5.2873,4,19.2,21.7,0,0.14735046784990224,5.723585101952381,2.3869262414277967
0.0,10.81,0,0.413,6.065,7.8,5.2873,4,19.2,22.8,0,0.08768115263983375,5.723585101952381,1.8748743759385615
0.0,10.81,0,0.413,6.245,6.2,5.2873,4,19.2,23.4,0,0.17847249197232393,5.723585101952381,2.1447610078004784
0.0,12.83,0,0.437,6.273,6.0,4.2515,5,18.7,24.1,0,0.07599761422646512,5.988961416889864,2.0515563381903004
0.0,12.83,0,0.437,6.286,45.0,4.5026,5,18.7,21.4,0,0.09086394630511975,5.988961416889864,2.2965670206684825
0.0,12.83,0,0.437,6.279,74.5,4.0522,5,18.7,20.0,0,0.09670012247721363,5.988961416889864,2.5626389983283526
0.0,12.83,0,0.437,6.14,45.8,4.0905,5,18.7,20.8,0,0.08348600348975033,5.988961416889864,2.422144328051685
0.0,12.83,0,0.437,6.232,53.7,5.0141,5,18.7,21.2,0,0.054923696495899246,5.988961416889864,2.590767040487478
0.0,12.83,0,0.437,5.874,36.6,4.5026,5,18.7,20.3,0,0.08053796962647085,5.988961416889864,2.312535423847214
25.0,4.86,0,0.426,6.727,33.5,5.4007,4,19.0,28.0,0,0.04030666175913415,5.641907070938114,1.8389610707123492
25.0,4.86,0,0.426,6.619,70.4,5.4007,4,19.0,23.9,0,0.043653182921403064,5.641907070938114,2.1065702090680882
25.0,4.86,0,0.426,6.302,32.2,5.4007,4,19.0,24.8,0,0.03593647980430559,5.641907070938114,2.0438143640366846
25.0,4.86,0,0.426,6.167,46.7,5.4007,4,19.0,22.9,0,0.03489405897732069,5.641907070938114,2.1412419425852827
0.0,4.49,0,0.449,6.389,48.0,4.7794,3,18.5,23.9,0,0.04935191112196916,5.5134287461649825,2.362739015813793
0.0,4.49,0,0.449,6.63,56.1,4.4377,3,18.5,26.6,0,0.055765777905857246,5.5134287461649825,2.018895041811802
0.0,4.49,0,0.449,6.015,45.1,4.4272,3,18.5,22.5,0,0.050579039368154076,5.5134287461649825,2.6290069937617573
0.0,4.49,0,0.449,6.121,56.8,3.7476,3,18.5,22.2,0,0.06906886859909778,5.5134287461649825,2.244955980157409
0.0,3.41,0,0.489,7.007,86.3,3.4217,2,17.8,23.6,0,0.0550562057480784,5.602118820879701,1.8718021769015913
0.0,3.41,0,0.489,7.079,63.1,3.4145,2,17.8,28.7,0,0.051662226323793706,5.602118820879701,1.9021075263969205
0.0,3.41,0,0.489,6.417,66.1,3.0923,2,17.8,22.6,0,0.0457761026365836,5.602118820879701,2.2834022735772717
0.0,3.41,0,0.489,6.405,73.9,3.0921,2,17.8,22.0,0,0.038566653148816674,5.602118820879701,2.2192034840549946
28.0,15.04,0,0.464,6.442,53.6,3.6659,4,18.2,22.9,0,0.0411707337036766,5.602118820879701,2.214846178686039
28.0,15.04,0,0.464,6.211,28.9,3.6659,4,18.2,25.0,0,0.028344473009142515,5.602118820879701,1.9754689512968577
28.0,15.04,0,0.464,6.249,77.3,3.615,4,18.2,20.6,0,0.04204364799767933,5.602118820879701,2.4501426573516603
0.0,2.89,0,0.445,6.625,57.8,3.4952,2,18.0,28.4,0,0.11514845708892209,5.6240175061873385,2.0347056478384444
0.0,2.89,0,0.445,6.163,69.6,3.4952,2,18.0,21.4,0,0.10889027870807165,5.6240175061873385,2.5128460184772416
0.0,2.89,0,0.445,7.730500000000001,76.0,3.4952,2,18.0,36.962500000000006,0,0.11406948227773037,5.6240175061873385,1.6505798557652755
0.0,2.89,0,0.445,7.730500000000001,36.9,3.4952,2,18.0,36.962500000000006,0,0.0786910253316489,5.6240175061873385,1.5195132049061133
0.0,2.89,0,0.445,7.416,62.5,3.4952,2,18.0,33.2,0,0.06634938054153391,5.6240175061873385,1.9726911717329554
0.0,8.56,0,0.52,6.727,79.9,2.7778,5,20.9,27.5,0,0.13859604559025773,5.953243334287785,2.343727036325221
0.0,8.56,0,0.52,6.781,71.3,2.8561,5,20.9,26.5,0,0.10824435339763891,5.953243334287785,2.1598687907924505
0.0,8.56,0,0.52,6.405,85.4,2.7147,5,20.9,18.6,0,0.20600553079810677,5.953243334287785,2.453587966530573
0.0,8.56,0,0.52,6.137,87.4,2.7147,5,20.9,19.3,0,0.19195005368591092,5.953243334287785,2.67000213346468
0.0,8.56,0,0.52,6.167,90.0,2.421,5,20.9,20.1,0,0.1306773236416162,5.953243334287785,2.5900171341906173
0.0,8.56,0,0.52,5.851,96.7,2.1069,5,20.9,19.5,0,0.12453353302656035,5.953243334287785,2.8604851241459652
0.0,8.56,0,0.52,5.836,91.9,2.211,5,20.9,19.5,0,0.15802886422491005,5.953243334287785,2.9785861147190205
0.0,8.56,0,0.52,6.127,85.2,2.1224,5,20.9,20.4,0,0.12325249529930257,5.953243334287785,2.7140322727797574
0.0,8.56,0,0.52,6.474,97.1,2.4329,5,20.9,19.8,0,0.12046388341513765,5.953243334287785,2.5855058483441162
0.0,8.56,0,0.52,6.229,91.2,2.5451,5,20.9,19.4,0,0.23398853135437192,5.953243334287785,2.806386101823072
0.0,8.56,0,0.52,6.195,54.4,2.7778,5,20.9,21.7,0,0.1024934094340411,5.953243334287785,2.6390573296152584
0.0,10.01,0,0.547,6.715,81.6,2.6775,6,17.8,22.8,0,0.09607352474606409,6.07073772800249,2.412335956953165
0.0,10.01,0,0.547,5.913,92.9,2.3534,6,17.8,18.8,0,0.11626187928444467,6.07073772800249,2.845490610223448
0.0,10.01,0,0.547,6.092,95.4,2.548,6,17.8,18.7,0,0.20058705560079915,6.07073772800249,2.895359299407204
0.0,10.01,0,0.547,6.254,84.2,2.2565,6,17.8,18.5,0,0.13305252798715148,6.07073772800249,2.4379897300002487
0.0,10.01,0,0.547,5.928,88.2,2.4631,6,17.8,18.3,0,0.15814839260023486,6.07073772800249,2.818995095053937
0.0,10.01,0,0.547,6.176,72.5,2.7301,6,17.8,21.2,0,0.12361488619930212,6.07073772800249,2.5680215564985067
0.0,10.01,0,0.547,6.021,82.6,2.7474,6,17.8,19.2,0,0.1406137533941644,6.07073772800249,2.424802725718295
0.0,10.01,0,0.547,5.872,73.1,2.4775,6,17.8,20.4,0,0.12273077538031703,6.07073772800249,2.7954503913830435
0.0,10.01,0,0.547,5.731,65.2,2.7592,6,17.8,19.3,0,0.13519500804868875,6.07073772800249,2.681706225762608
0.0,25.65,0,0.581,5.87,69.7,2.2577,2,19.1,22.0,0,0.06671427746220379,5.241747015059643,2.7324175575505043
0.0,25.65,0,0.581,6.004,84.1,2.1974,2,19.1,20.3,0,0.06919951680100443,5.241747015059643,2.725890119230541
0.0,25.65,0,0.581,5.961,92.9,2.0869,2,19.1,20.5,0,0.08891706002171539,5.241747015059643,2.9407479652212314
0.0,25.65,0,0.581,5.856,97.0,1.9444,2,19.1,17.3,0,0.14009232257621806,5.241747015059643,3.273742726309041
0.0,25.65,0,0.581,5.879,95.8,2.0063,2,19.1,18.8,0,0.09393650947837956,5.241747015059643,2.922085733385692
0.0,25.65,0,0.581,5.986,88.4,1.9929,2,19.1,21.4,0,0.15616579098344338,5.241747015059643,2.7606426512213806
0.0,25.65,0,0.581,5.613,95.6,1.7572,2,19.1,15.7,0,0.3273954526862417,5.241747015059643,3.3414473772563813
0.0,21.89,0,0.624,5.693,96.0,1.7883,4,21.2,16.2,0,0.23043689014167512,6.082218910376446,2.900871992530031
0.0,21.89,0,0.624,6.431,98.8,1.8125,4,21.2,18.0,0,0.2817369350921532,6.082218910376446,2.7966713927557385
0.0,21.89,0,0.624,5.637,94.7,1.9799,4,21.2,14.3,0,0.6319364495150488,6.082218910376446,2.9621754900251482
0.0,21.89,0,0.624,6.458,98.9,2.1185,4,21.2,19.2,0,0.29271438907980246,6.082218910376446,2.6100697927420065
0.0,21.89,0,0.624,6.326,97.7,2.271,4,21.2,19.6,0,0.7852431092803437,6.082218910376446,2.5847519847577165
0.0,21.89,0,0.624,6.372,97.9,2.3274,4,21.2,23.0,0,0.46376546227858856,6.082218910376446,2.4948569806411682
0.0,21.89,0,0.624,5.822,95.4,2.4699,4,21.2,18.4,0,0.2850435947287374,6.082218910376446,2.7744619666214616
0.0,21.89,0,0.624,5.757,98.4,2.346,4,21.2,15.6,0,0.6811606280137663,6.082218910376446,2.907447358686419
0.0,21.89,0,0.624,6.335,98.2,2.1107,4,21.2,18.1,0,0.44326173080273074,6.082218910376446,2.8881470628740535
